"","Year","Plot","Ring","CO2","N","SR","TotalBiomass","pSR","pH","ExpYear","l.year","l.SR","l.biomass","l.RR","Trt"
"3",1999,100,2,"Camb","Namb",1,65.9,1,6.3,2,0.693147180559945,0,4.18813844150846,1.10194007876078,"Namb.Camb"
"4",1999,101,2,"Camb","Nenrich",1,168.4,1,6.2,2,0.693147180559945,0,5.12634210180823,0.00995033085316809,"Nenrich.Camb"
"5",1999,102,2,"Camb","Namb",1,283.2,1,5.9,2,0.693147180559945,0,5.64615336181956,0.698134722070984,"Namb.Camb"
"6",1999,103,2,"Camb","Nenrich",1,329.9,1,5.3,2,0.693147180559945,0,5.79878957823454,0.698134722070984,"Nenrich.Camb"
"7",1999,104,2,"Camb","Namb",16,242.29,13,5.7,2,0.693147180559945,2.77258872223978,5.49013535581934,2.56571829252441,"Namb.Camb"
"8",1999,105,2,"Camb","Namb",4,146.6,4,6,2,0.693147180559945,1.38629436111989,4.98770778945255,1.38879124131848,"Namb.Camb"
"9",1999,106,2,"Camb","Namb",9,145.4,8,6,2,0.693147180559945,2.19722457733622,4.97948856509942,2.08069076108027,"Namb.Camb"
"10",1999,107,2,"Camb","Namb",16,236.46,10,5.4,2,0.693147180559945,2.77258872223978,5.46577906043497,2.30358459332713,"Namb.Camb"
"11",1999,108,2,"Camb","Nenrich",16,229.38,11,5.4,2,0.693147180559945,2.77258872223978,5.43538001693638,2.39880395073459,"Nenrich.Camb"
"12",1999,109,2,"Camb","Namb",1,319.6,1,5.1,2,0.693147180559945,0,5.76707021389212,1.10194007876078,"Namb.Camb"
"13",1999,110,2,"Camb","Nenrich",16,570.4,9,5.4,2,0.693147180559945,2.77258872223978,6.34633786910009,2.19833507162025,"Nenrich.Camb"
"14",1999,111,2,"Camb","Namb",1,251.1,1,5.3,2,0.693147180559945,0,5.52585126616354,1.38879124131848,"Namb.Camb"
"15",1999,112,2,"Camb","Nenrich",1,412.9,1,5.3,2,0.693147180559945,0,6.02320543289204,0.698134722070984,"Nenrich.Camb"
"16",1999,113,2,"Camb","Nenrich",1,225.3,1,5.9,2,0.693147180559945,0,5.4174328474382,0.00995033085316809,"Nenrich.Camb"
"17",1999,114,2,"Camb","Nenrich",4,900,5,5.3,2,0.693147180559945,1.38629436111989,6.80239476332431,1.61143591509677,"Nenrich.Camb"
"18",1999,115,2,"Camb","Namb",1,144.3,1,5.5,2,0.693147180559945,0,4.97189446577983,1.10194007876078,"Namb.Camb"
"19",1999,116,2,"Camb","Namb",1,89.6,1,6.1,2,0.693147180559945,0,4.49535531998088,1.10194007876078,"Namb.Camb"
"20",1999,118,2,"Camb","Nenrich",16,327.22,9,5.8,2,0.693147180559945,2.77258872223978,5.79063272755493,2.19833507162025,"Nenrich.Camb"
"22",1999,120,2,"Camb","Namb",4,178.6,5,5.4,2,0.693147180559945,1.38629436111989,5.1851486684424,1.61143591509677,"Namb.Camb"
"23",1999,121,2,"Camb","Namb",4,178.7,5,5.6,2,0.693147180559945,1.38629436111989,5.18570842216538,1.61143591509677,"Namb.Camb"
"24",1999,122,2,"Camb","Namb",1,145.5,1,5.4,2,0.693147180559945,0,4.98017608661155,0.698134722070984,"Namb.Camb"
"84",1999,184,4,"Camb","Namb",16,160.4,12,5.3,2,0.693147180559945,2.77258872223978,5.07767069543241,2.48573963609189,"Namb.Camb"
"85",1999,187,4,"Camb","Namb",9,173.9,8,5.3,2,0.693147180559945,2.19722457733622,5.15848042136024,2.08069076108027,"Namb.Camb"
"86",1999,188,4,"Camb","Namb",16,264.63,12,5.1,2,0.693147180559945,2.77258872223978,5.57833262393879,2.48573963609189,"Namb.Camb"
"87",1999,189,4,"Camb","Namb",4,163.9,4,5.9,2,0.693147180559945,1.38629436111989,5.09925648574978,1.38879124131848,"Namb.Camb"
"89",1999,190,4,"Camb","Namb",1,90.4,1,6.1,2,0.693147180559945,0,4.50424426739813,1.10194007876078,"Namb.Camb"
"90",1999,191,4,"Camb","Namb",4,93.21,3,5,2,0.693147180559945,1.38629436111989,4.53485501207307,1.10194007876078,"Namb.Camb"
"91",1999,192,4,"Camb","Namb",1,17,1,5.2,2,0.693147180559945,0,2.83321334405622,0.00995033085316809,"Namb.Camb"
"92",1999,193,4,"Camb","Nenrich",4,265.2,4,5.1,2,0.693147180559945,1.38629436111989,5.58048425831171,1.38879124131848,"Nenrich.Camb"
"93",1999,194,4,"Camb","Nenrich",9,295.32,8,5.1,2,0.693147180559945,2.19722457733622,5.68805951419096,2.08069076108027,"Nenrich.Camb"
"94",1999,195,4,"Camb","Nenrich",1,240.2,1,5.5,2,0.693147180559945,0,5.48147190964588,0.698134722070984,"Nenrich.Camb"
"95",1999,196,4,"Camb","Nenrich",1,47.4,1,5.7,2,0.693147180559945,0,3.85862222870103,0.698134722070984,"Nenrich.Camb"
"96",1999,197,4,"Camb","Nenrich",4,220.2,4,5.3,2,0.693147180559945,1.38629436111989,5.39453622428858,1.38879124131848,"Nenrich.Camb"
"97",1999,198,4,"Camb","Namb",4,147,4,5.9,2,0.693147180559945,1.38629436111989,4.99043258677874,1.38879124131848,"Namb.Camb"
"98",1999,199,4,"Camb","Namb",1,188.9,1,4.9,2,0.693147180559945,0,5.24121777450746,0.00995033085316809,"Namb.Camb"
"101",1999,200,4,"Camb","Namb",4,137.3,4,5.6,2,0.693147180559945,1.38629436111989,4.92216831277393,1.38879124131848,"Namb.Camb"
"102",1999,201,4,"Camb","Namb",16,182.73,14,5.1,2,0.693147180559945,2.77258872223978,5.2080096535165,2.63977136034892,"Namb.Camb"
